,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
1,2,e7e6,autonomic,,N/A
2,3,d2d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
3,4,d7d5,autonomic,,N/A
4,5,b1c3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
5,6,g8f6,autonomic,,N/A
6,7,e4e5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
7,8,f6d7,autonomic,,N/A
8,9,f2f4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
9,10,c7c5,autonomic,,N/A
10,11,g1f3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
11,12,b8c6,autonomic,,N/A
12,13,c1e3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
13,14,d8b6,autonomic,,N/A
14,15,f1e2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
15,16,c5d4,autonomic,,N/A
16,17,f3d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
17,18,f8c5,autonomic,,N/A
18,19,c3a4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
19,20,b6a5,autonomic,,N/A
20,21,c2c3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
21,22,c6d4,autonomic,,N/A
22,23,e3d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
23,24,c5d4,autonomic,,N/A
24,25,d1d4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
25,26,b7b6,autonomic,,N/A
26,27,e2d1,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
27,28,c8a6,autonomic,,N/A
28,29,b2b4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
29,30,a5b5,autonomic,,N/A
30,31,a4b2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
31,32,b5c6,autonomic,,N/A
32,33,e1f2,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
33,34,e8g8,autonomic,,N/A
34,35,h1e1,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
35,36,f8c8,autonomic,,N/A
36,37,e1e3,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
37,38,a6c4,autonomic,,N/A
38,39,a2a4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
39,40,a7a5,autonomic,,N/A
40,41,h2h4,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
41,42,c6b7,autonomic,,N/A
42,43,b4b5,"opponent,Alexandria-6.1.0-avx2.exe",,N/A
43,44,d7c5,autonomic,,N/A
