,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Clover.6.1-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,e4d5,"opponent,Clover.6.1-avx2.exe",,N/A
3,4,c7c6,autonomic,,N/A
4,5,d5c6,"opponent,Clover.6.1-avx2.exe",,N/A
5,6,b8c6,autonomic,,N/A
6,7,f1b5,"opponent,Clover.6.1-avx2.exe",,N/A
7,8,d8d5,autonomic,,N/A
8,9,b5c6,"opponent,Clover.6.1-avx2.exe",,N/A
9,10,d5c6,autonomic,,N/A
10,11,g1f3,"opponent,Clover.6.1-avx2.exe",,N/A
11,12,c8g4,autonomic,,N/A
12,13,d2d4,"opponent,Clover.6.1-avx2.exe",,N/A
13,14,e7e6,autonomic,,N/A
14,15,b1d2,"opponent,Clover.6.1-avx2.exe",,N/A
15,16,f8d6,autonomic,,N/A
16,17,e1g1,"opponent,Clover.6.1-avx2.exe",,N/A
17,18,g8e7,autonomic,,N/A
18,19,f1e1,"opponent,Clover.6.1-avx2.exe",,N/A
19,20,e8g8,autonomic,,N/A
20,21,c2c3,"opponent,Clover.6.1-avx2.exe",,N/A
21,22,e7g6,autonomic,,N/A
22,23,d1e2,"opponent,Clover.6.1-avx2.exe",,N/A
23,24,g6f4,autonomic,,N/A
24,25,e2e4,"opponent,Clover.6.1-avx2.exe",,N/A
25,26,c6a6,autonomic,,N/A
26,27,f3e5,"opponent,Clover.6.1-avx2.exe",,N/A
27,28,d6e5,autonomic,,N/A
28,29,d4e5,"opponent,Clover.6.1-avx2.exe",,N/A
29,30,f4e2,autonomic,,N/A
30,31,g1h1,"opponent,Clover.6.1-avx2.exe",,N/A
31,32,e2c1,autonomic,,N/A
32,33,e1c1,"opponent,Clover.6.1-avx2.exe",,N/A
33,34,g4f5,autonomic,,N/A
34,35,e4e3,"opponent,Clover.6.1-avx2.exe",,N/A
35,36,f8d8,autonomic,,N/A
36,37,d2b3,"opponent,Clover.6.1-avx2.exe",,N/A
37,38,d8d3,autonomic,,N/A
38,39,e3e2,"opponent,Clover.6.1-avx2.exe",,N/A
39,40,d3c3,autonomic,,N/A
40,41,e2a6,"opponent,Clover.6.1-avx2.exe",,N/A
41,42,c3c1,autonomic,,N/A
42,43,a1c1,"opponent,Clover.6.1-avx2.exe",,N/A
43,44,b7a6,autonomic,,N/A
44,45,b3d4,"opponent,Clover.6.1-avx2.exe",,N/A
45,46,g7g6,autonomic,,N/A
46,47,d4f5,"opponent,Clover.6.1-avx2.exe",,N/A
47,48,g6f5,autonomic,,N/A
48,49,g2g3,"opponent,Clover.6.1-avx2.exe",,N/A
49,50,a8b8,autonomic,,N/A
50,51,c1c2,"opponent,Clover.6.1-avx2.exe",,N/A
51,52,b8b5,autonomic,,N/A
52,53,f2f4,"opponent,Clover.6.1-avx2.exe",,N/A
53,54,a6a5,autonomic,,N/A
54,55,h1g2,"opponent,Clover.6.1-avx2.exe",,N/A
55,56,g8g7,autonomic,,N/A
56,57,g2h3,"opponent,Clover.6.1-avx2.exe",,N/A
57,58,g7g6,autonomic,,N/A
58,59,c2d2,"opponent,Clover.6.1-avx2.exe",,N/A
59,60,b5b4,autonomic,,N/A
60,61,h3h4,"opponent,Clover.6.1-avx2.exe",,N/A
61,62,a5a4,autonomic,,N/A
62,63,h2h3,"opponent,Clover.6.1-avx2.exe",,N/A
63,64,a7a5,autonomic,,N/A
64,65,a2a3,"opponent,Clover.6.1-avx2.exe",,N/A
65,66,b4b7,autonomic,,N/A
66,67,d2c2,"opponent,Clover.6.1-avx2.exe",,N/A
67,68,b7b5,autonomic,,N/A
68,69,c2d2,"opponent,Clover.6.1-avx2.exe",,N/A
69,70,b5b8,autonomic,,N/A
70,71,d2c2,"opponent,Clover.6.1-avx2.exe",,N/A
71,72,b8b5,autonomic,,N/A
72,73,c2d2,"opponent,Clover.6.1-avx2.exe",,N/A
