,turn,move_made,player,winner,detected?
0,1,d2d4,"opponent,Uralochka3.40a-avx2.exe",,N/A
1,2,g8f6,autonomic,,N/A
2,3,c1g5,"opponent,Uralochka3.40a-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,b1d2,"opponent,Uralochka3.40a-avx2.exe",,N/A
5,6,c7c5,autonomic,,N/A
6,7,e2e3,"opponent,Uralochka3.40a-avx2.exe",,N/A
7,8,d7d5,autonomic,,N/A
8,9,d1f3,"opponent,Uralochka3.40a-avx2.exe",,N/A
9,10,b8d7,autonomic,,N/A
10,11,e1c1,"opponent,Uralochka3.40a-avx2.exe",,N/A
11,12,d8a5,autonomic,,N/A
12,13,c1b1,"opponent,Uralochka3.40a-avx2.exe",,N/A
13,14,c5c4,autonomic,,N/A
14,15,g5f6,"opponent,Uralochka3.40a-avx2.exe",,N/A
15,16,d7f6,autonomic,,N/A
16,17,e3e4,"opponent,Uralochka3.40a-avx2.exe",,N/A
17,18,b7b5,autonomic,,N/A
18,19,g1e2,"opponent,Uralochka3.40a-avx2.exe",,N/A
19,20,a8b8,autonomic,,N/A
20,21,e2c1,"opponent,Uralochka3.40a-avx2.exe",,N/A
21,22,a5b6,autonomic,,N/A
22,23,e4e5,"opponent,Uralochka3.40a-avx2.exe",,N/A
23,24,f6d7,autonomic,,N/A
24,25,f1e2,"opponent,Uralochka3.40a-avx2.exe",,N/A
25,26,f8e7,autonomic,,N/A
26,27,d2f1,"opponent,Uralochka3.40a-avx2.exe",,N/A
27,28,e8g8,autonomic,,N/A
28,29,f1e3,"opponent,Uralochka3.40a-avx2.exe",,N/A
29,30,a7a5,autonomic,,N/A
30,31,c2c3,"opponent,Uralochka3.40a-avx2.exe",,N/A
31,32,b5b4,autonomic,,N/A
32,33,c3b4,"opponent,Uralochka3.40a-avx2.exe",,N/A
33,34,b6b4,autonomic,,N/A
34,35,b2b3,"opponent,Uralochka3.40a-avx2.exe",,N/A
35,36,a5a4,autonomic,,N/A
36,37,e3g4,"opponent,Uralochka3.40a-avx2.exe",,N/A
37,38,c8a6,autonomic,,N/A
38,39,f3e3,"opponent,Uralochka3.40a-avx2.exe",,N/A
39,40,f8c8,autonomic,,N/A
40,41,e3f3,"opponent,Uralochka3.40a-avx2.exe",,N/A
41,42,a4b3,autonomic,,N/A
42,43,a2b3,"opponent,Uralochka3.40a-avx2.exe",,N/A
43,44,b4a3,autonomic,,N/A
44,45,d1d2,"opponent,Uralochka3.40a-avx2.exe",,N/A
45,46,c4b3,autonomic,,N/A
46,47,e2a6,"opponent,Uralochka3.40a-avx2.exe",,N/A
47,48,b3b2,autonomic,,N/A
48,49,g4h6,"opponent,Uralochka3.40a-avx2.exe",,N/A
49,50,g7h6,autonomic,,N/A
50,51,c1a2,"opponent,Uralochka3.40a-avx2.exe",,N/A
51,52,c8c1,autonomic,,N/A
52,53,a2c1,"opponent,Uralochka3.40a-avx2.exe",,N/A
53,54,b2c1q,autonomic,,N/A
