,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,e4d5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,d2d4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
5,6,f6d5,autonomic,,N/A
6,7,c2c4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
7,8,d5f6,autonomic,,N/A
8,9,g1f3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
9,10,c7c5,autonomic,,N/A
10,11,d4d5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
11,12,e7e6,autonomic,,N/A
12,13,b1c3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
13,14,f8d6,autonomic,,N/A
14,15,d5e6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
15,16,c8e6,autonomic,,N/A
16,17,c3b5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
17,18,d6c7,autonomic,,N/A
18,19,d1d8,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
19,20,e8d8,autonomic,,N/A
20,21,b5c7,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
21,22,d8c7,autonomic,,N/A
22,23,c1e3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,N/A
23,24,b7b6,autonomic,,Uralochka3.40a-avx2.exe
24,25,f3g5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
25,26,h8e8,autonomic,,Uralochka3.40a-avx2.exe
26,27,e3f4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
27,28,c7d8,autonomic,,Uralochka3.40a-avx2.exe
28,29,e1c1,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
29,30,d8c8,autonomic,,Uralochka3.40a-avx2.exe
30,31,g2g3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
31,32,b8c6,autonomic,,Uralochka3.40a-avx2.exe
32,33,g5e6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
33,34,f7e6,autonomic,,Uralochka3.40a-avx2.exe
34,35,f1g2,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
35,36,c8b7,autonomic,,Uralochka3.40a-avx2.exe
36,37,h1e1,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
37,38,a8c8,autonomic,,Uralochka3.40a-avx2.exe
38,39,d1d6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
39,40,e6e5,autonomic,,Uralochka3.40a-avx2.exe
40,41,e1e5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
41,42,e8e5,autonomic,,Uralochka3.40a-avx2.exe
42,43,f4e5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
43,44,f6g4,autonomic,,Uralochka3.40a-avx2.exe
44,45,e5g7,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
45,46,g4h2,autonomic,,Uralochka3.40a-avx2.exe
46,47,f2f4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
47,48,h2g4,autonomic,,Uralochka3.40a-avx2.exe
48,49,d6e6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
49,50,c8c7,autonomic,,Uralochka3.40a-avx2.exe
50,51,g7c3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
51,52,g4h2,autonomic,,Uralochka3.40a-avx2.exe
52,53,f4f5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
53,54,h2g4,autonomic,,Uralochka3.40a-avx2.exe
54,55,g2d5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
55,56,c7f7,autonomic,,Uralochka3.40a-avx2.exe
56,57,e6c6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
57,58,f7f5,autonomic,,Uralochka3.40a-avx2.exe
58,59,c6c5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
59,60,b7b8,autonomic,,Uralochka3.40a-avx2.exe
60,61,c5c8,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
61,62,b8c8,autonomic,,Uralochka3.40a-avx2.exe
62,63,d5e6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
63,64,c8b7,autonomic,,Uralochka3.40a-avx2.exe
64,65,e6f5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
65,66,g4e3,autonomic,,Uralochka3.40a-avx2.exe
66,67,f5e4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
67,68,b7a6,autonomic,,Uralochka3.40a-avx2.exe
68,69,e4h7,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
69,70,e3f1,autonomic,,Uralochka3.40a-avx2.exe
70,71,h7f5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
71,72,a6b7,autonomic,,Uralochka3.40a-avx2.exe
72,73,f5d3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
73,74,f1g3,autonomic,,Uralochka3.40a-avx2.exe
74,75,c3e5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
75,76,b7c6,autonomic,,Uralochka3.40a-avx2.exe
76,77,e5g3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
77,78,c6d7,autonomic,,Uralochka3.40a-avx2.exe
78,79,c4c5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
79,80,b6c5,autonomic,,Uralochka3.40a-avx2.exe
80,81,d3c4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
81,82,d7c6,autonomic,,Uralochka3.40a-avx2.exe
82,83,c1d1,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
83,84,c6b6,autonomic,,Uralochka3.40a-avx2.exe
84,85,g3e1,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
85,86,b6b7,autonomic,,Uralochka3.40a-avx2.exe
86,87,a2a4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
87,88,b7b6,autonomic,,Uralochka3.40a-avx2.exe
88,89,a4a5,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
89,90,b6b7,autonomic,,Uralochka3.40a-avx2.exe
90,91,e1g3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
91,92,b7c6,autonomic,,Uralochka3.40a-avx2.exe
92,93,g3f2,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
93,94,c6d6,autonomic,,Uralochka3.40a-avx2.exe
94,95,d1d2,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
95,96,d6c6,autonomic,,Uralochka3.40a-avx2.exe
96,97,f2e3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
97,98,c6d6,autonomic,,Uralochka3.40a-avx2.exe
98,99,d2c3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
99,100,d6c6,autonomic,,Uralochka3.40a-avx2.exe
100,101,b2b4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
101,102,c5b4,autonomic,,Uralochka3.40a-avx2.exe
102,103,c3b4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
103,104,c6b7,autonomic,,Uralochka3.40a-avx2.exe
104,105,b4c3,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
105,106,b7c6,autonomic,,Uralochka3.40a-avx2.exe
106,107,e3a7,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
107,108,c6b7,autonomic,,Uralochka3.40a-avx2.exe
108,109,a7f2,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
109,110,b7c8,autonomic,,Uralochka3.40a-avx2.exe
110,111,a5a6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
111,112,c8c7,autonomic,,Uralochka3.40a-avx2.exe
112,113,a6a7,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
113,114,c7d7,autonomic,,Uralochka3.40a-avx2.exe
114,115,a7a8q,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
115,116,d7e7,autonomic,,Uralochka3.40a-avx2.exe
116,117,a8c6,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
117,118,e7d8,autonomic,,Uralochka3.40a-avx2.exe
118,119,f2h4,"opponent,igel-x64_popcnt_avx2_3_5_0.exe",,Uralochka3.40a-avx2.exe
