,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
1,2,e7e6,autonomic,,N/A
2,3,d2d4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
3,4,d7d5,autonomic,,N/A
4,5,e4e5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
5,6,c7c5,autonomic,,N/A
6,7,c2c3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
7,8,b8c6,autonomic,,N/A
8,9,g1f3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
9,10,g8e7,autonomic,,N/A
10,11,b1a3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
11,12,e7f5,autonomic,,N/A
12,13,a3c2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
13,14,c5d4,autonomic,,N/A
14,15,c3d4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
15,16,f7f6,autonomic,,N/A
16,17,f1d3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
17,18,f8e7,autonomic,,N/A
18,19,g2g4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
19,20,f6e5,autonomic,,N/A
20,21,g4f5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
21,22,e5e4,autonomic,,N/A
22,23,f3e5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
23,24,c6e5,autonomic,,N/A
24,25,d4e5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
25,26,e4d3,autonomic,,N/A
26,27,d1h5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
27,28,g7g6,autonomic,,N/A
28,29,f5g6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
29,30,e8d7,autonomic,,N/A
30,31,c2d4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
31,32,d8g8,autonomic,,N/A
32,33,h1g1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
33,34,h7g6,autonomic,,N/A
34,35,h5f3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
35,36,h8h2,autonomic,,N/A
36,37,f3d3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
37,38,d7d8,autonomic,,N/A
38,39,c1e3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
39,40,c8d7,autonomic,,N/A
40,41,e1c1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
41,42,a8c8,autonomic,,N/A
42,43,c1b1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
43,44,g8h7,autonomic,,N/A
44,45,d3g6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
45,46,d8c7,autonomic,,N/A
46,47,f2f4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
47,48,c7b8,autonomic,,N/A
48,49,f4f5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
49,50,h7h3,autonomic,,N/A
50,51,g6g3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
51,52,e7c5,autonomic,,N/A
52,53,f5f6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
53,54,d7e8,autonomic,,N/A
54,55,a2a3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
55,56,h2h1,autonomic,,N/A
56,57,g3f2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
57,58,h1h2,autonomic,,N/A
58,59,f2f4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
59,60,c5d4,autonomic,,N/A
60,61,e3d4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
61,62,b7b6,autonomic,,N/A
62,63,b1a2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
63,64,e8b5,autonomic,,N/A
64,65,a2a1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
65,66,h3b3,autonomic,,N/A
66,67,f4g3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
67,68,b3g3,autonomic,,N/A
68,69,g1g3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
69,70,b8b7,autonomic,,N/A
70,71,d1g1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
71,72,h2d2,autonomic,,N/A
72,73,d4e3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
73,74,d2e2,autonomic,,N/A
74,75,g3f3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
75,76,c8f8,autonomic,,N/A
76,77,g1g7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
77,78,b7a6,autonomic,,N/A
78,79,e3h6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
79,80,f8c8,autonomic,,N/A
80,81,a3a4,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
81,82,e2e1,autonomic,,N/A
82,83,a1a2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
83,84,b5e2,autonomic,,N/A
84,85,f3f2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
85,86,c8c2,autonomic,,N/A
86,87,g7g2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
87,88,e1h1,autonomic,,N/A
88,89,f2e2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
89,90,c2e2,autonomic,,N/A
90,91,f6f7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
91,92,e2g2,autonomic,,N/A
92,93,f7f8q,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
93,94,h1h2,autonomic,,N/A
94,95,f8c8,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
95,96,a6a5,autonomic,,N/A
96,97,h6c1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
97,98,g2c2,autonomic,,N/A
98,99,c8d7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
99,100,a5a6,autonomic,,N/A
100,101,a2b1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
101,102,c2c4,autonomic,,N/A
102,103,c1e3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
103,104,h2h1,autonomic,,N/A
104,105,b1a2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
105,106,h1h2,autonomic,,N/A
106,107,d7e6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
107,108,c4a4,autonomic,,N/A
108,109,a2b3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
109,110,a4e4,autonomic,,N/A
110,111,e6c8,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
111,112,a6b5,autonomic,,N/A
112,113,c8d7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
113,114,b5a6,autonomic,,N/A
114,115,d7c8,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
115,116,a6b5,autonomic,,N/A
116,117,c8d7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
117,118,b5a6,autonomic,,N/A
118,119,e3g5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
119,120,h2e2,autonomic,,N/A
120,121,g5f6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
121,122,e2e1,autonomic,,N/A
122,123,d7d5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
123,124,e1e3,autonomic,,N/A
124,125,b3a2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
125,126,e4a4,autonomic,,N/A
126,127,a2b1,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
127,128,e3e1,autonomic,,N/A
128,129,b1c2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
129,130,a4e4,autonomic,,N/A
130,131,d5d3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
131,132,a6b7,autonomic,,N/A
132,133,d3d7,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
133,134,b7a6,autonomic,,N/A
134,135,c2b3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
135,136,e4e3,autonomic,,N/A
136,137,b3a2,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
137,138,e1e2,autonomic,,N/A
138,139,d7d5,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
139,140,e2e1,autonomic,,N/A
140,141,b2b3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
141,142,e1e2,autonomic,,N/A
142,143,a2a3,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
143,144,e2c2,autonomic,,N/A
144,145,e5e6,"opponent,stockfish-windows-x86-64-avx2.exe",,N/A
