,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Alexandria-7.1-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Alexandria-7.1-avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,d2d4,"opponent,Alexandria-7.1-avx2.exe",,N/A
5,6,e5d4,autonomic,,N/A
6,7,f3d4,"opponent,Alexandria-7.1-avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,d4c6,"opponent,Alexandria-7.1-avx2.exe",,N/A
9,10,b7c6,autonomic,,N/A
10,11,d1d4,"opponent,Alexandria-7.1-avx2.exe",,N/A
11,12,d7d5,autonomic,,N/A
12,13,b1c3,"opponent,Alexandria-7.1-avx2.exe",,N/A
13,14,f8e7,autonomic,,N/A
14,15,c1g5,"opponent,Alexandria-7.1-avx2.exe",,N/A
15,16,e8g8,autonomic,,N/A
16,17,e1c1,"opponent,Alexandria-7.1-avx2.exe",,N/A
17,18,a8b8,autonomic,,N/A
18,19,g5f4,"opponent,Alexandria-7.1-avx2.exe",,N/A
19,20,c6c5,autonomic,,N/A
20,21,d4a4,"opponent,Alexandria-7.1-avx2.exe",,N/A
21,22,d5d4,autonomic,,N/A
22,23,a4a5,"opponent,Alexandria-7.1-avx2.exe",,N/A
23,24,b8b6,autonomic,,N/A
24,25,b2b3,"opponent,Alexandria-7.1-avx2.exe",,N/A
25,26,f6g4,autonomic,,N/A
26,27,d1d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
27,28,g4f6,autonomic,,N/A
28,29,d2d1,"opponent,Alexandria-7.1-avx2.exe",,N/A
29,30,f6g4,autonomic,,N/A
30,31,f4g3,"opponent,Alexandria-7.1-avx2.exe",,N/A
31,32,e7d6,autonomic,,N/A
32,33,e4e5,"opponent,Alexandria-7.1-avx2.exe",,N/A
33,34,g4e5,autonomic,,N/A
34,35,g3e5,"opponent,Alexandria-7.1-avx2.exe",,N/A
35,36,d6e5,autonomic,,N/A
36,37,c1b1,"opponent,Alexandria-7.1-avx2.exe",,N/A
37,38,d8f6,autonomic,,N/A
38,39,c3a4,"opponent,Alexandria-7.1-avx2.exe",,N/A
39,40,e5d6,autonomic,,N/A
40,41,a4b6,"opponent,Alexandria-7.1-avx2.exe",,N/A
41,42,a7b6,autonomic,,N/A
42,43,a5d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
43,44,c8b7,autonomic,,N/A
44,45,f2f3,"opponent,Alexandria-7.1-avx2.exe",,N/A
45,46,b7c6,autonomic,,N/A
46,47,f1d3,"opponent,Alexandria-7.1-avx2.exe",,N/A
47,48,b6b5,autonomic,,N/A
48,49,g2g3,"opponent,Alexandria-7.1-avx2.exe",,N/A
49,50,f8a8,autonomic,,N/A
50,51,h1f1,"opponent,Alexandria-7.1-avx2.exe",,N/A
51,52,c5c4,autonomic,,N/A
52,53,b3c4,"opponent,Alexandria-7.1-avx2.exe",,N/A
53,54,b5c4,autonomic,,N/A
54,55,d3c4,"opponent,Alexandria-7.1-avx2.exe",,N/A
55,56,a8b8,autonomic,,N/A
56,57,c4b3,"opponent,Alexandria-7.1-avx2.exe",,N/A
57,58,c6b5,autonomic,,N/A
58,59,f1e1,"opponent,Alexandria-7.1-avx2.exe",,N/A
59,60,c7c5,autonomic,,N/A
60,61,e1e4,"opponent,Alexandria-7.1-avx2.exe",,N/A
61,62,f6f3,autonomic,,N/A
62,63,d1e1,"opponent,Alexandria-7.1-avx2.exe",,N/A
63,64,h7h6,autonomic,,N/A
64,65,c2c4,"opponent,Alexandria-7.1-avx2.exe",,N/A
65,66,b5d7,autonomic,,N/A
66,67,e4e2,"opponent,Alexandria-7.1-avx2.exe",,N/A
67,68,b8b3,autonomic,,N/A
68,69,a2b3,"opponent,Alexandria-7.1-avx2.exe",,N/A
69,70,f3b3,autonomic,,N/A
70,71,d2b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
71,72,d7f5,autonomic,,N/A
72,73,b1a1,"opponent,Alexandria-7.1-avx2.exe",,N/A
73,74,b3c4,autonomic,,N/A
74,75,b2a2,"opponent,Alexandria-7.1-avx2.exe",,N/A
75,76,c4c3,autonomic,,N/A
76,77,a2b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
77,78,c3c4,autonomic,,N/A
78,79,b2a2,"opponent,Alexandria-7.1-avx2.exe",,N/A
79,80,c4c3,autonomic,,N/A
80,81,a2b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
81,82,c3f3,autonomic,,N/A
82,83,e2f2,"opponent,Alexandria-7.1-avx2.exe",,N/A
83,84,f3d3,autonomic,,N/A
84,85,f2d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
85,86,d3a6,autonomic,,N/A
86,87,b2a2,"opponent,Alexandria-7.1-avx2.exe",,N/A
87,88,a6b7,autonomic,,N/A
88,89,d2b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
89,90,b7f3,autonomic,,N/A
90,91,a2b3,"opponent,Alexandria-7.1-avx2.exe",,N/A
91,92,f3c6,autonomic,,N/A
92,93,b3c4,"opponent,Alexandria-7.1-avx2.exe",,N/A
93,94,d4d3,autonomic,,N/A
94,95,b2f2,"opponent,Alexandria-7.1-avx2.exe",,N/A
95,96,f5g6,autonomic,,N/A
96,97,a1b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
97,98,c6a8,autonomic,,N/A
98,99,g3g4,"opponent,Alexandria-7.1-avx2.exe",,N/A
99,100,d6e5,autonomic,,N/A
100,101,e1e5,"opponent,Alexandria-7.1-avx2.exe",,N/A
101,102,a8b8,autonomic,,N/A
102,103,b2c3,"opponent,Alexandria-7.1-avx2.exe",,N/A
103,104,b8e5,autonomic,,N/A
104,105,c3d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
105,106,e5b2,autonomic,,N/A
106,107,d2e3,"opponent,Alexandria-7.1-avx2.exe",,N/A
107,108,b2e5,autonomic,,N/A
108,109,e3d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
109,110,g8h7,autonomic,,N/A
110,111,h2h4,"opponent,Alexandria-7.1-avx2.exe",,N/A
111,112,f7f6,autonomic,,N/A
112,113,d2d1,"opponent,Alexandria-7.1-avx2.exe",,N/A
113,114,h6h5,autonomic,,N/A
114,115,g4h5,"opponent,Alexandria-7.1-avx2.exe",,N/A
115,116,g6h5,autonomic,,N/A
116,117,d1d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
117,118,h5g6,autonomic,,N/A
118,119,c4c3,"opponent,Alexandria-7.1-avx2.exe",,N/A
119,120,e5d5,autonomic,,N/A
120,121,d2c1,"opponent,Alexandria-7.1-avx2.exe",,N/A
121,122,c5c4,autonomic,,N/A
122,123,c1d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
123,124,d5e4,autonomic,,N/A
124,125,c3b2,"opponent,Alexandria-7.1-avx2.exe",,N/A
125,126,g6f7,autonomic,,N/A
126,127,b2a1,"opponent,Alexandria-7.1-avx2.exe",,N/A
127,128,e4h4,autonomic,,N/A
128,129,a1g1,"opponent,Alexandria-7.1-avx2.exe",,N/A
129,130,h7g8,autonomic,,N/A
130,131,d2e3,"opponent,Alexandria-7.1-avx2.exe",,N/A
131,132,h4h5,autonomic,,N/A
132,133,f2g2,"opponent,Alexandria-7.1-avx2.exe",,N/A
133,134,h5e5,autonomic,,N/A
134,135,e3d2,"opponent,Alexandria-7.1-avx2.exe",,N/A
135,136,e5a5,autonomic,,N/A
136,137,d2c1,"opponent,Alexandria-7.1-avx2.exe",,N/A
137,138,c4c3,autonomic,,N/A
138,139,c1b1,"opponent,Alexandria-7.1-avx2.exe",,N/A
139,140,a5b4,autonomic,,N/A
140,141,b1a1,"opponent,Alexandria-7.1-avx2.exe",,N/A
141,142,b4a3,autonomic,,N/A
142,143,a1b1,"opponent,Alexandria-7.1-avx2.exe",,N/A
143,144,f7g6,autonomic,,N/A
144,145,g2a2,"opponent,Alexandria-7.1-avx2.exe",,N/A
145,146,c3c2,autonomic,,N/A
146,147,b1a1,"opponent,Alexandria-7.1-avx2.exe",,N/A
147,148,c2c1q,autonomic,,N/A
148,149,g1c1,"opponent,Alexandria-7.1-avx2.exe",,N/A
149,150,a3c1,autonomic,,N/A
