,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,f1c4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
5,6,g8f6,autonomic,,N/A
6,7,f3g5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
7,8,d7d5,autonomic,,N/A
8,9,e4d5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
9,10,c6a5,autonomic,,N/A
10,11,c4b5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
11,12,c7c6,autonomic,,N/A
12,13,d5c6,"opponent,Lizard-10_5-win_avx2.exe",,N/A
13,14,b7c6,autonomic,,N/A
14,15,b5d3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
15,16,f6d5,autonomic,,N/A
16,17,g5f3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
17,18,f8d6,autonomic,,N/A
18,19,e1g1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
19,20,d5f4,autonomic,,N/A
20,21,b1c3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
21,22,f4d3,autonomic,,N/A
22,23,c2d3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
23,24,e8g8,autonomic,,N/A
24,25,c3e4,"opponent,Lizard-10_5-win_avx2.exe",,N/A
25,26,d6c7,autonomic,,N/A
26,27,f1e1,"opponent,Lizard-10_5-win_avx2.exe",,N/A
27,28,d8d3,autonomic,,N/A
28,29,b2b3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
29,30,f7f5,autonomic,,N/A
30,31,e4g5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
31,32,h7h6,autonomic,,N/A
32,33,c1a3,"opponent,Lizard-10_5-win_avx2.exe",,N/A
33,34,f8e8,autonomic,,N/A
34,35,f3e5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
35,36,e8e5,autonomic,,N/A
36,37,d1h5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
37,38,h6g5,autonomic,,N/A
38,39,e1e5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
39,40,c7e5,autonomic,,N/A
40,41,h5e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
41,42,g8h7,autonomic,,N/A
42,43,e8h5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
43,44,h7g8,autonomic,,N/A
44,45,h5e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
45,46,g8h7,autonomic,,N/A
46,47,e8h5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
47,48,h7g8,autonomic,,N/A
48,49,h5e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
49,50,g8h7,autonomic,,N/A
50,51,e8h5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
51,52,h7g8,autonomic,,N/A
52,53,h5e8,"opponent,Lizard-10_5-win_avx2.exe",,N/A
53,54,g8h7,autonomic,,N/A
54,55,e8h5,"opponent,Lizard-10_5-win_avx2.exe",,N/A
55,56,h7g8,autonomic,,N/A
