,turn,move_made,player,winner,detected?
0,1,d2d4,"opponent,Obsidian140-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,c2c4,"opponent,Obsidian140-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,b1c3,"opponent,Obsidian140-avx2.exe",,N/A
5,6,g8f6,autonomic,,N/A
6,7,c4d5,"opponent,Obsidian140-avx2.exe",,N/A
7,8,e6d5,autonomic,,N/A
8,9,c1g5,"opponent,Obsidian140-avx2.exe",,N/A
9,10,f8e7,autonomic,,N/A
10,11,e2e3,"opponent,Obsidian140-avx2.exe",,N/A
11,12,h7h6,autonomic,,N/A
12,13,g5h4,"opponent,Obsidian140-avx2.exe",,N/A
13,14,c7c6,autonomic,,N/A
14,15,f1d3,"opponent,Obsidian140-avx2.exe",,N/A
15,16,e8g8,autonomic,,N/A
16,17,g1e2,"opponent,Obsidian140-avx2.exe",,N/A
17,18,b8d7,autonomic,,N/A
18,19,f2f3,"opponent,Obsidian140-avx2.exe",,N/A
19,20,b7b5,autonomic,,N/A
20,21,e1g1,"opponent,Obsidian140-avx2.exe",,N/A
21,22,f8e8,autonomic,,N/A
22,23,h4f2,"opponent,Obsidian140-avx2.exe",,N/A
23,24,a7a6,autonomic,,N/A
24,25,e2f4,"opponent,Obsidian140-avx2.exe",,N/A
25,26,b5b4,autonomic,,N/A
26,27,c3e2,"opponent,Obsidian140-avx2.exe",,N/A
27,28,g7g5,autonomic,,N/A
28,29,f4h3,"opponent,Obsidian140-avx2.exe",,N/A
29,30,c6c5,autonomic,,N/A
30,31,g1h1,"opponent,Obsidian140-avx2.exe",,N/A
31,32,c5c4,autonomic,,N/A
32,33,d3c2,"opponent,Obsidian140-avx2.exe",,N/A
33,34,e7d6,autonomic,,N/A
34,35,e2g3,"opponent,Obsidian140-avx2.exe",,N/A
35,36,d7b6,autonomic,,N/A
36,37,g3f5,"opponent,Obsidian140-avx2.exe",,N/A
37,38,d6f8,autonomic,,N/A
38,39,f5g3,"opponent,Obsidian140-avx2.exe",,N/A
39,40,a6a5,autonomic,,N/A
40,41,e3e4,"opponent,Obsidian140-avx2.exe",,N/A
41,42,d5e4,autonomic,,N/A
42,43,f3e4,"opponent,Obsidian140-avx2.exe",,N/A
43,44,a5a4,autonomic,,N/A
44,45,d1d2,"opponent,Obsidian140-avx2.exe",,N/A
45,46,a4a3,autonomic,,N/A
46,47,b2b3,"opponent,Obsidian140-avx2.exe",,N/A
47,48,c4b3,autonomic,,N/A
48,49,a2b3,"opponent,Obsidian140-avx2.exe",,N/A
49,50,c8a6,autonomic,,N/A
50,51,f1d1,"opponent,Obsidian140-avx2.exe",,N/A
51,52,a8c8,autonomic,,N/A
52,53,d4d5,"opponent,Obsidian140-avx2.exe",,N/A
53,54,b6d7,autonomic,,N/A
54,55,f2d4,"opponent,Obsidian140-avx2.exe",,N/A
55,56,f8c5,autonomic,,N/A
56,57,d4c5,"opponent,Obsidian140-avx2.exe",,N/A
57,58,c8c5,autonomic,,N/A
58,59,h3f2,"opponent,Obsidian140-avx2.exe",,N/A
59,60,d8b8,autonomic,,N/A
60,61,d5d6,"opponent,Obsidian140-avx2.exe",,N/A
61,62,e8e6,autonomic,,N/A
62,63,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
63,64,b8b6,autonomic,,N/A
64,65,a1b1,"opponent,Obsidian140-avx2.exe",,N/A
65,66,f6e8,autonomic,,N/A
66,67,f2d3,"opponent,Obsidian140-avx2.exe",,N/A
67,68,a6d3,autonomic,,N/A
68,69,c2d3,"opponent,Obsidian140-avx2.exe",,N/A
69,70,c5c3,autonomic,,N/A
70,71,g3f5,"opponent,Obsidian140-avx2.exe",,N/A
71,72,e8d6,autonomic,,N/A
72,73,d3c4,"opponent,Obsidian140-avx2.exe",,N/A
73,74,d6c4,autonomic,,N/A
74,75,b3c4,"opponent,Obsidian140-avx2.exe",,N/A
75,76,d7e5,autonomic,,N/A
76,77,d2d5,"opponent,Obsidian140-avx2.exe",,N/A
77,78,b6b8,autonomic,,N/A
78,79,c4c5,"opponent,Obsidian140-avx2.exe",,N/A
79,80,b4b3,autonomic,,N/A
80,81,f5d4,"opponent,Obsidian140-avx2.exe",,N/A
81,82,a3a2,autonomic,,N/A
82,83,b1b3,"opponent,Obsidian140-avx2.exe",,N/A
83,84,c3b3,autonomic,,N/A
84,85,d5b3,"opponent,Obsidian140-avx2.exe",,N/A
85,86,b8b3,autonomic,,N/A
86,87,d4b3,"opponent,Obsidian140-avx2.exe",,N/A
87,88,e6e8,autonomic,,N/A
88,89,d1d6,"opponent,Obsidian140-avx2.exe",,N/A
89,90,e8b8,autonomic,,N/A
90,91,d6b6,"opponent,Obsidian140-avx2.exe",,N/A
91,92,e5d7,autonomic,,N/A
92,93,b6b8,"opponent,Obsidian140-avx2.exe",,N/A
93,94,d7b8,autonomic,,N/A
94,95,h1h2,"opponent,Obsidian140-avx2.exe",,N/A
95,96,g8f8,autonomic,,N/A
96,97,h3h4,"opponent,Obsidian140-avx2.exe",,N/A
97,98,g5h4,autonomic,,N/A
98,99,h2h3,"opponent,Obsidian140-avx2.exe",,N/A
99,100,f8e7,autonomic,,N/A
100,101,h3h4,"opponent,Obsidian140-avx2.exe",,N/A
101,102,b8a6,autonomic,,N/A
102,103,c5c6,"opponent,Obsidian140-avx2.exe",,N/A
103,104,e7d6,autonomic,,N/A
104,105,g2g4,"opponent,Obsidian140-avx2.exe",,N/A
105,106,a6c5,autonomic,,N/A
106,107,b3a1,"opponent,Obsidian140-avx2.exe",,N/A
107,108,d6c6,autonomic,,N/A
108,109,e4e5,"opponent,Obsidian140-avx2.exe",,N/A
109,110,c6d5,autonomic,,N/A
110,111,h4h5,"opponent,Obsidian140-avx2.exe",,N/A
111,112,d5e5,autonomic,,N/A
112,113,h5h6,"opponent,Obsidian140-avx2.exe",,N/A
113,114,c5e6,autonomic,,N/A
114,115,h6h7,"opponent,Obsidian140-avx2.exe",,N/A
115,116,e5d4,autonomic,,N/A
116,117,h7g8,"opponent,Obsidian140-avx2.exe",,N/A
117,118,e6g5,autonomic,,N/A
118,119,g8g7,"opponent,Obsidian140-avx2.exe",,N/A
119,120,d4c3,autonomic,,N/A
120,121,g7f6,"opponent,Obsidian140-avx2.exe",,N/A
121,122,g5e4,autonomic,,N/A
122,123,f6e5,"opponent,Obsidian140-avx2.exe",,N/A
123,124,e4f2,autonomic,,N/A
124,125,e5f6,"opponent,Obsidian140-avx2.exe",,N/A
125,126,f2g4,autonomic,,N/A
126,127,f6f5,"opponent,Obsidian140-avx2.exe",,N/A
127,128,g4f2,autonomic,,N/A
128,129,f5f6,"opponent,Obsidian140-avx2.exe",,N/A
129,130,c3b2,autonomic,,N/A
130,131,f6f7,"opponent,Obsidian140-avx2.exe",,N/A
131,132,b2a1,autonomic,,N/A
132,133,f7e6,"opponent,Obsidian140-avx2.exe",,N/A
133,134,a1b1,autonomic,,N/A
134,135,e6d5,"opponent,Obsidian140-avx2.exe",,N/A
135,136,a2a1q,autonomic,,N/A
136,137,d5e6,"opponent,Obsidian140-avx2.exe",,N/A
137,138,a1a6,autonomic,,N/A
138,139,e6e5,"opponent,Obsidian140-avx2.exe",,N/A
139,140,b1c2,autonomic,,N/A
140,141,e5d5,"opponent,Obsidian140-avx2.exe",,N/A
141,142,c2d3,autonomic,,N/A
142,143,d5c5,"opponent,Obsidian140-avx2.exe",,N/A
143,144,f2e4,autonomic,,N/A
144,145,c5b4,"opponent,Obsidian140-avx2.exe",,N/A
