,turn,move_made,player,winner,detected?
0,1,g1f3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
1,2,d7d5,autonomic,,N/A
2,3,d2d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
3,4,e7e6,autonomic,,N/A
4,5,c2c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
5,6,c7c5,autonomic,,N/A
6,7,c4d5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
7,8,e6d5,autonomic,,N/A
8,9,b1c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
9,10,b8c6,autonomic,,N/A
10,11,d4c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
11,12,d5d4,autonomic,,N/A
12,13,c3a4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
13,14,f8c5,autonomic,,N/A
14,15,a4c5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
15,16,d8a5,autonomic,,N/A
16,17,c1d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
17,18,a5c5,autonomic,,N/A
18,19,b2b4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
19,20,c6b4,autonomic,,N/A
20,21,a1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
21,22,c5d6,autonomic,,N/A
22,23,e2e3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
23,24,b4c6,autonomic,,N/A
24,25,f3d4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
25,26,g8e7,autonomic,,N/A
26,27,d4b5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
27,28,d6d8,autonomic,,N/A
28,29,d2c3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
29,30,e8g8,autonomic,,N/A
30,31,f1c4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
31,32,d8d1,autonomic,,N/A
32,33,c1d1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
33,34,a7a6,autonomic,,N/A
34,35,b5d6,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
35,36,b7b5,autonomic,,N/A
36,37,d6c8,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
37,38,f8c8,autonomic,,N/A
38,39,c4d3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
39,40,a6a5,autonomic,,N/A
40,41,e1d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
41,42,e7d5,autonomic,,N/A
42,43,c3a1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
43,44,c6b4,autonomic,,N/A
44,45,d3b1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
45,46,d5b6,autonomic,,N/A
46,47,g2g4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
47,48,a8b8,autonomic,,N/A
48,49,d2e2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
49,50,b6c4,autonomic,,N/A
50,51,h2h4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
51,52,c4a3,autonomic,,N/A
52,53,d1d2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
53,54,c8d8,autonomic,,N/A
54,55,d2d8,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
55,56,b8d8,autonomic,,N/A
56,57,g4g5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
57,58,a3b1,autonomic,,N/A
58,59,h1b1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
59,60,d8c8,autonomic,,N/A
60,61,a2a3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
61,62,b4c2,autonomic,,N/A
62,63,a1b2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
63,64,b5b4,autonomic,,N/A
64,65,a3b4,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
65,66,a5b4,autonomic,,N/A
66,67,b2e5,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
67,68,c8e8,autonomic,,N/A
68,69,e5h2,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
69,70,c2d4,autonomic,,N/A
70,71,e2d3,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
71,72,d4c6,autonomic,,N/A
72,73,b1c1,"opponent,PlentyChess-2.1.0-avx2.exe",,N/A
73,74,e8e6,autonomic,,N/A
