,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,Starzix-6.0-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,Starzix-6.0-avx2.exe",,N/A
3,4,g8f6,autonomic,,N/A
4,5,f3e5,"opponent,Starzix-6.0-avx2.exe",,N/A
5,6,d7d6,autonomic,,N/A
6,7,e5f3,"opponent,Starzix-6.0-avx2.exe",,N/A
7,8,f6e4,autonomic,,N/A
8,9,d2d4,"opponent,Starzix-6.0-avx2.exe",,N/A
9,10,d6d5,autonomic,,N/A
10,11,f1d3,"opponent,Starzix-6.0-avx2.exe",,N/A
11,12,c8f5,autonomic,,N/A
12,13,e1g1,"opponent,Starzix-6.0-avx2.exe",,N/A
13,14,f8e7,autonomic,,N/A
14,15,c2c4,"opponent,Starzix-6.0-avx2.exe",,N/A
15,16,d5c4,autonomic,,N/A
16,17,d3c4,"opponent,Starzix-6.0-avx2.exe",,N/A
17,18,e8g8,autonomic,,N/A
18,19,b1c3,"opponent,Starzix-6.0-avx2.exe",,N/A
19,20,b8c6,autonomic,,N/A
20,21,f1e1,"opponent,Starzix-6.0-avx2.exe",,N/A
21,22,e4c3,autonomic,,N/A
22,23,b2c3,"opponent,Starzix-6.0-avx2.exe",,N/A
23,24,d8d7,autonomic,,N/A
24,25,a2a4,"opponent,Starzix-6.0-avx2.exe",,N/A
25,26,e7f6,autonomic,,N/A
26,27,a4a5,"opponent,Starzix-6.0-avx2.exe",,N/A
27,28,b7b6,autonomic,,N/A
28,29,a5b6,"opponent,Starzix-6.0-avx2.exe",,N/A
29,30,a7b6,autonomic,,N/A
30,31,a1a8,"opponent,Starzix-6.0-avx2.exe",,N/A
31,32,f8a8,autonomic,,N/A
32,33,f3g5,"opponent,Starzix-6.0-avx2.exe",,N/A
33,34,a8f8,autonomic,,N/A
34,35,d1a4,"opponent,Starzix-6.0-avx2.exe",,N/A
35,36,c6d8,autonomic,,N/A
36,37,a4d7,"opponent,Starzix-6.0-avx2.exe",,N/A
37,38,f5d7,autonomic,,N/A
38,39,c1f4,"opponent,Starzix-6.0-avx2.exe",,N/A
39,40,f6g5,autonomic,,N/A
40,41,f4g5,"opponent,Starzix-6.0-avx2.exe",,N/A
41,42,d8e6,autonomic,,N/A
42,43,g5e3,"opponent,Starzix-6.0-avx2.exe",,N/A
43,44,b6b5,autonomic,,N/A
44,45,c4e2,"opponent,Starzix-6.0-avx2.exe",,N/A
45,46,c7c6,autonomic,,N/A
46,47,e1a1,"opponent,Starzix-6.0-avx2.exe",,N/A
47,48,f8c8,autonomic,,N/A
48,49,a1a7,"opponent,Starzix-6.0-avx2.exe",,N/A
49,50,c8c7,autonomic,,N/A
50,51,a7a6,"opponent,Starzix-6.0-avx2.exe",,N/A
