,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,berserk-13-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,berserk-13-avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,f1b5,"opponent,berserk-13-avx2.exe",,N/A
5,6,a7a6,autonomic,,N/A
6,7,b5a4,"opponent,berserk-13-avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,e1g1,"opponent,berserk-13-avx2.exe",,N/A
9,10,f6e4,autonomic,,N/A
10,11,d2d4,"opponent,berserk-13-avx2.exe",,N/A
11,12,b7b5,autonomic,,N/A
12,13,a4b3,"opponent,berserk-13-avx2.exe",,N/A
13,14,d7d5,autonomic,,N/A
14,15,d4e5,"opponent,berserk-13-avx2.exe",,N/A
15,16,c8e6,autonomic,,N/A
16,17,c2c3,"opponent,berserk-13-avx2.exe",,N/A
17,18,f8c5,autonomic,,N/A
18,19,b1d2,"opponent,berserk-13-avx2.exe",,N/A
19,20,e8g8,autonomic,,N/A
20,21,b3c2,"opponent,berserk-13-avx2.exe",,N/A
21,22,e4f2,autonomic,,N/A
22,23,f1f2,"opponent,berserk-13-avx2.exe",,N/A
23,24,c5f2,autonomic,,N/A
24,25,g1f2,"opponent,berserk-13-avx2.exe",,N/A
25,26,f7f6,autonomic,,N/A
26,27,d2f1,"opponent,berserk-13-avx2.exe",,N/A
27,28,f6e5,autonomic,,N/A
28,29,f2g1,"opponent,berserk-13-avx2.exe",,N/A
29,30,e6g4,autonomic,,N/A
30,31,f1e3,"opponent,berserk-13-avx2.exe",,N/A
31,32,g4e6,autonomic,,N/A
32,33,c2b3,"opponent,berserk-13-avx2.exe",,N/A
33,34,e5e4,autonomic,,N/A
34,35,f3d4,"opponent,berserk-13-avx2.exe",,N/A
35,36,c6d4,autonomic,,N/A
36,37,d1d4,"opponent,berserk-13-avx2.exe",,N/A
37,38,c7c5,autonomic,,N/A
38,39,d4e5,"opponent,berserk-13-avx2.exe",,N/A
39,40,d8d7,autonomic,,N/A
40,41,e5e6,"opponent,berserk-13-avx2.exe",,N/A
41,42,d7e6,autonomic,,N/A
42,43,b3d5,"opponent,berserk-13-avx2.exe",,N/A
43,44,e6d5,autonomic,,N/A
44,45,e3d5,"opponent,berserk-13-avx2.exe",,N/A
45,46,a8d8,autonomic,,N/A
46,47,d5e7,"opponent,berserk-13-avx2.exe",,N/A
47,48,g8f7,autonomic,,N/A
48,49,c1g5,"opponent,berserk-13-avx2.exe",,N/A
49,50,h7h6,autonomic,,N/A
50,51,a1f1,"opponent,berserk-13-avx2.exe",,N/A
51,52,f7e6,autonomic,,N/A
52,53,f1f8,"opponent,berserk-13-avx2.exe",,N/A
53,54,d8f8,autonomic,,N/A
54,55,e7g6,"opponent,berserk-13-avx2.exe",,N/A
55,56,f8f7,autonomic,,N/A
56,57,g5e3,"opponent,berserk-13-avx2.exe",,N/A
57,58,e6f6,autonomic,,N/A
58,59,g6f4,"opponent,berserk-13-avx2.exe",,N/A
59,60,f6e5,autonomic,,N/A
60,61,f4h3,"opponent,berserk-13-avx2.exe",,N/A
61,62,e5d5,autonomic,,N/A
62,63,h3f4,"opponent,berserk-13-avx2.exe",,N/A
63,64,d5e5,autonomic,,N/A
64,65,f4h3,"opponent,berserk-13-avx2.exe",,N/A
65,66,e5d5,autonomic,,N/A
66,67,h3f4,"opponent,berserk-13-avx2.exe",,N/A
67,68,d5e5,autonomic,,N/A
68,69,f4e2,"opponent,berserk-13-avx2.exe",,N/A
69,70,e5d5,autonomic,,N/A
70,71,e2f4,"opponent,berserk-13-avx2.exe",,N/A
71,72,d5e5,autonomic,,N/A
72,73,f4e2,"opponent,berserk-13-avx2.exe",,N/A
73,74,e5d5,autonomic,,N/A
74,75,e2f4,"opponent,berserk-13-avx2.exe",,N/A
75,76,d5e5,autonomic,,N/A
