,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,f1b5,"opponent,caissa-1.21-x64-avx2.exe",,N/A
5,6,a7a6,autonomic,,N/A
6,7,b5a4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,e1g1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
9,10,f8e7,autonomic,,N/A
10,11,f1e1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
11,12,b7b5,autonomic,,N/A
12,13,a4b3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
13,14,e8g8,autonomic,,N/A
14,15,c2c3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
15,16,c6a5,autonomic,,N/A
16,17,b3c2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
17,18,d7d5,autonomic,,N/A
18,19,e4d5,"opponent,caissa-1.21-x64-avx2.exe",,N/A
19,20,e5e4,autonomic,,N/A
20,21,c2e4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
21,22,f6e4,autonomic,,N/A
22,23,e1e4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
23,24,c8b7,autonomic,,N/A
24,25,d2d4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
25,26,b7d5,autonomic,,N/A
26,27,e4e1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
27,28,e7d6,autonomic,,N/A
28,29,b2b3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
29,30,f8e8,autonomic,,N/A
30,31,e1e8,"opponent,caissa-1.21-x64-avx2.exe",,N/A
31,32,d8e8,autonomic,,N/A
32,33,b1d2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
33,34,f7f6,autonomic,,N/A
34,35,d2f1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
35,36,a5c6,autonomic,,N/A
36,37,f1e3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
37,38,d5f7,autonomic,,N/A
38,39,f3h4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
39,40,c6e7,autonomic,,N/A
40,41,c3c4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
41,42,c7c5,autonomic,,N/A
42,43,d4d5,"opponent,caissa-1.21-x64-avx2.exe",,N/A
43,44,e7g6,autonomic,,N/A
44,45,h4g6,"opponent,caissa-1.21-x64-avx2.exe",,N/A
45,46,f7g6,autonomic,,N/A
46,47,c1b2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
47,48,a8a7,autonomic,,N/A
48,49,a2a4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
49,50,b5b4,autonomic,,N/A
50,51,d1d2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
51,52,h7h5,autonomic,,N/A
52,53,a1e1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
53,54,a7e7,autonomic,,N/A
54,55,h2h4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
55,56,g6e4,autonomic,,N/A
56,57,e3f1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
57,58,e4g6,autonomic,,N/A
58,59,e1e7,"opponent,caissa-1.21-x64-avx2.exe",,N/A
59,60,e8e7,autonomic,,N/A
60,61,f2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
61,62,e7d7,autonomic,,N/A
62,63,d2e1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
63,64,d7f5,autonomic,,N/A
64,65,f1g3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
65,66,f5f4,autonomic,,N/A
66,67,g3e4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
67,68,f4h2,autonomic,,N/A
68,69,g1f1,"opponent,caissa-1.21-x64-avx2.exe",,N/A
69,70,h2h1,autonomic,,N/A
70,71,f1e2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
71,72,h1g2,autonomic,,N/A
72,73,e1f2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
73,74,g2f2,autonomic,,N/A
74,75,e2f2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
75,76,g6e4,autonomic,,N/A
76,77,f3e4,"opponent,caissa-1.21-x64-avx2.exe",,N/A
77,78,d6f4,autonomic,,N/A
78,79,f2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
79,80,f4d2,autonomic,,N/A
80,81,f3e2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
81,82,d2f4,autonomic,,N/A
82,83,e2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
83,84,f4d2,autonomic,,N/A
84,85,f3e2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
85,86,d2f4,autonomic,,N/A
86,87,e2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
87,88,f4d2,autonomic,,N/A
88,89,f3e2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
89,90,d2f4,autonomic,,N/A
90,91,e2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
91,92,f4d2,autonomic,,N/A
92,93,f3e2,"opponent,caissa-1.21-x64-avx2.exe",,N/A
93,94,d2f4,autonomic,,N/A
94,95,e2f3,"opponent,caissa-1.21-x64-avx2.exe",,N/A
