,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,integral_v5_avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,integral_v5_avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,d2d4,"opponent,integral_v5_avx2.exe",,N/A
5,6,e5d4,autonomic,,N/A
6,7,f3d4,"opponent,integral_v5_avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,d4c6,"opponent,integral_v5_avx2.exe",,N/A
9,10,b7c6,autonomic,,N/A
10,11,f1d3,"opponent,integral_v5_avx2.exe",,N/A
11,12,d7d5,autonomic,,N/A
12,13,e4e5,"opponent,integral_v5_avx2.exe",,N/A
13,14,f6g4,autonomic,,N/A
14,15,e1g1,"opponent,integral_v5_avx2.exe",,N/A
15,16,f8c5,autonomic,,N/A
16,17,c1f4,"opponent,integral_v5_avx2.exe",,N/A
17,18,g7g5,autonomic,,N/A
18,19,f4g3,"opponent,integral_v5_avx2.exe",,N/A
19,20,h7h5,autonomic,,N/A
20,21,d3e2,"opponent,integral_v5_avx2.exe",,N/A
21,22,d8e7,autonomic,,N/A
22,23,b1c3,"opponent,integral_v5_avx2.exe",,N/A
23,24,h5h4,autonomic,,N/A
24,25,e2g4,"opponent,integral_v5_avx2.exe",,N/A
25,26,h4g3,autonomic,,N/A
26,27,h2g3,"opponent,integral_v5_avx2.exe",,N/A
27,28,f7f5,autonomic,,N/A
28,29,g4h5,"opponent,integral_v5_avx2.exe",,N/A
29,30,e8f8,autonomic,,N/A
30,31,d1f3,"opponent,integral_v5_avx2.exe",,N/A
31,32,f8g7,autonomic,,N/A
32,33,c3a4,"opponent,integral_v5_avx2.exe",,N/A
33,34,c5d4,autonomic,,N/A
34,35,a1e1,"opponent,integral_v5_avx2.exe",,N/A
35,36,c8a6,autonomic,,N/A
36,37,f3d1,"opponent,integral_v5_avx2.exe",,N/A
37,38,a6f1,autonomic,,N/A
38,39,d1d4,"opponent,integral_v5_avx2.exe",,N/A
39,40,h8h5,autonomic,,N/A
40,41,g1f1,"opponent,integral_v5_avx2.exe",,N/A
41,42,h5h1,autonomic,,N/A
42,43,f1e2,"opponent,integral_v5_avx2.exe",,N/A
43,44,h1e1,autonomic,,N/A
44,45,e2e1,"opponent,integral_v5_avx2.exe",,N/A
45,46,a8e8,autonomic,,N/A
46,47,f2f4,"opponent,integral_v5_avx2.exe",,N/A
47,48,g5f4,autonomic,,N/A
48,49,g3f4,"opponent,integral_v5_avx2.exe",,N/A
49,50,e7h4,autonomic,,N/A
50,51,e1d2,"opponent,integral_v5_avx2.exe",,N/A
51,52,g7h7,autonomic,,N/A
52,53,a4c3,"opponent,integral_v5_avx2.exe",,N/A
53,54,e8g8,autonomic,,N/A
54,55,c3e2,"opponent,integral_v5_avx2.exe",,N/A
55,56,g8g2,autonomic,,N/A
56,57,e5e6,"opponent,integral_v5_avx2.exe",,N/A
57,58,h7g6,autonomic,,N/A
58,59,d4e3,"opponent,integral_v5_avx2.exe",,N/A
59,60,h4f2,autonomic,,N/A
60,61,e3e5,"opponent,integral_v5_avx2.exe",,N/A
61,62,c6c5,autonomic,,N/A
62,63,e6e7,"opponent,integral_v5_avx2.exe",,N/A
63,64,f2e2,autonomic,,N/A
64,65,e5e2,"opponent,integral_v5_avx2.exe",,N/A
65,66,g2e2,autonomic,,N/A
66,67,d2e2,"opponent,integral_v5_avx2.exe",,N/A
67,68,g6f7,autonomic,,N/A
68,69,b2b3,"opponent,integral_v5_avx2.exe",,N/A
69,70,f7e7,autonomic,,N/A
70,71,e2d3,"opponent,integral_v5_avx2.exe",,N/A
71,72,e7f6,autonomic,,N/A
72,73,a2a3,"opponent,integral_v5_avx2.exe",,N/A
73,74,f6g6,autonomic,,N/A
74,75,c2c4,"opponent,integral_v5_avx2.exe",,N/A
75,76,d5c4,autonomic,,N/A
76,77,d3c4,"opponent,integral_v5_avx2.exe",,N/A
77,78,g6h5,autonomic,,N/A
78,79,c4d5,"opponent,integral_v5_avx2.exe",,N/A
79,80,h5g4,autonomic,,N/A
80,81,d5e5,"opponent,integral_v5_avx2.exe",,N/A
81,82,a7a6,autonomic,,N/A
82,83,a3a4,"opponent,integral_v5_avx2.exe",,N/A
83,84,a6a5,autonomic,,N/A
84,85,e5d5,"opponent,integral_v5_avx2.exe",,N/A
85,86,g4f4,autonomic,,N/A
86,87,d5c5,"opponent,integral_v5_avx2.exe",,N/A
87,88,f4e5,autonomic,,N/A
88,89,b3b4,"opponent,integral_v5_avx2.exe",,N/A
89,90,a5b4,autonomic,,N/A
90,91,c5b4,"opponent,integral_v5_avx2.exe",,N/A
91,92,e5d5,autonomic,,N/A
92,93,a4a5,"opponent,integral_v5_avx2.exe",,N/A
93,94,d5c6,autonomic,,N/A
94,95,b4c4,"opponent,integral_v5_avx2.exe",,N/A
95,96,c6b7,autonomic,,N/A
96,97,c4b5,"opponent,integral_v5_avx2.exe",,N/A
97,98,f5f4,autonomic,,N/A
98,99,a5a6,"opponent,integral_v5_avx2.exe",,N/A
99,100,b7a7,autonomic,,N/A
100,101,b5c4,"opponent,integral_v5_avx2.exe",,N/A
101,102,a7a6,autonomic,,N/A
