,turn,move_made,player,winner,detected?
0,1,e2e4,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
1,2,e7e5,autonomic,,N/A
2,3,g1f3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
3,4,b8c6,autonomic,,N/A
4,5,f1b5,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
5,6,a7a6,autonomic,,N/A
6,7,b5a4,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
7,8,g8f6,autonomic,,N/A
8,9,e1g1,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
9,10,f8e7,autonomic,,N/A
10,11,f1e1,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
11,12,b7b5,autonomic,,N/A
12,13,a4b3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
13,14,e8g8,autonomic,,N/A
14,15,a2a4,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
15,16,b5b4,autonomic,,N/A
16,17,d2d4,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
17,18,d7d6,autonomic,,N/A
18,19,d4e5,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
19,20,c6e5,autonomic,,N/A
20,21,f3e5,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
21,22,d6e5,autonomic,,N/A
22,23,b1d2,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
23,24,e7c5,autonomic,,N/A
24,25,d1f3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
25,26,f6g4,autonomic,,N/A
26,27,e1e2,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
27,28,g4h2,autonomic,,N/A
28,29,g1h2,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
29,30,d8h4,autonomic,,N/A
30,31,h2g1,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
31,32,c8g4,autonomic,,N/A
32,33,f3d3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
33,34,a8d8,autonomic,,N/A
34,35,d3c4,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
35,36,d8d6,autonomic,,N/A
36,37,c4c5,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
37,38,g4e2,autonomic,,N/A
38,39,c5e3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
39,40,d6h6,autonomic,,N/A
40,41,e3h3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
41,42,h4h3,autonomic,,N/A
42,43,g2h3,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
43,44,h6g6,autonomic,,N/A
44,45,g1h2,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
45,46,f8d8,autonomic,,N/A
46,47,a1a2,"opponent,viridithas-15.0.0-win-x86-64-v3_avx2.exe",,N/A
